x0,x1,y
416,627,-1
-51,298,-1
-519,1158,-1
626,1136,-1
925,-429,-1
830,-939,-1
628,176,-1
433,285,-1
1824,-818,-1
992,1214,-1
629,481,-1
-80,65,-1
1410,936,-1
772,-1353,-1
-174,418,-1
-231,769,-1
1942,23,-1
-529,1428,-1
611,311,-1
-289,1378,-1
873,896,-1
941,781,-1
1151,-512,-1
-909,1729,-1
-990,585,-1
1316,24,-1
-1118,872,-1
1034,-362,-1
318,567,-1
140,179,-1
-99,1423,-1
-95,498,-1
524,714,-1
154,179,-1
679,1117,-1
777,172,-1
1443,34,-1
2621,912,-1
2759,1161,-1
1876,1482,-1
797,119,-1
1104,-91,-1
1610,172,-1
1891,1273,-1
220,343,-1
1393,-5,-1
41,831,-1
-1004,-51,+1
-1603,731,+1
-598,-591,+1
-1023,446,+1
-567,-637,+1
453,-1694,+1
1323,-1563,+1
-326,251,+1
-626,-738,+1
550,-558,+1
220,70,+1
-817,263,+1
3,-210,+1
791,-713,+1
-2860,-134,+1
-932,-844,+1
-305,-778,+1
-2007,-1316,+1
-700,-229,+1
-469,-322,+1
-1414,-754,+1
-374,471,+1
-1097,328,+1
-1818,-154,+1
244,-1214,+1
-79,-1459,+1
-1374,-1291,+1
-365,281,+1
-740,107,+1
-83,-1680,+1
795,-779,+1
-929,-323,+1
92,-793,+1
-2280,-351,+1
-208,-436,+1
-590,416,+1
227,-1021,+1
-101,-671,+1
-570,-393,+1
76,-637,+1
-356,-630,+1
388,-1533,+1
-50,-430,+1
-886,158,+1
-2063,611,+1
-571,-157,+1
-414,172,+1
238,-1481,+1
-307,-269,+1
-119,21,+1
-149,-1341,+1
356,-1442,+1
-1330,-1716,+1
