x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
710,-838,212,-24,1219,226,-630,1107,1647,938,-1
519,-1483,-1896,1270,1562,1304,113,675,-728,-875,-1
930,201,1186,-59,370,1793,-817,285,356,-27,-1
544,-157,1654,-1156,529,2502,-659,-1250,768,343,-1
2146,511,72,-36,-1367,1344,-397,-804,979,-858,-1
1108,-933,-717,1276,-1471,2183,651,1760,1499,-290,-1
1468,-823,499,-606,1503,-597,-124,-597,-1725,841,-1
-387,-707,485,1344,3779,14,689,1392,179,-767,-1
-1090,-900,-876,206,-1446,1116,753,1230,906,-1201,-1
1697,-916,352,-93,1371,743,-1643,-200,583,1134,-1
-483,-1271,392,1582,-956,-841,-1335,1097,1122,-1007,-1
788,-795,-591,1590,-1508,2030,-1042,-802,-337,647,-1
198,258,423,-1015,-48,695,1036,1456,489,59,-1
520,-1487,-466,1367,-484,-53,-245,-53,536,230,-1
-892,-410,148,-1127,-1152,-190,416,2394,-222,1296,-1
-973,478,-2339,-3023,-798,1206,-1417,1164,-1806,-456,-1
-317,860,-420,2387,-1536,2255,701,502,-677,226,-1
-1255,463,-463,-1199,1714,-243,-323,920,612,-368,-1
-730,-136,-123,-785,1718,1056,-660,-204,-395,222,-1
-96,8,891,44,-898,2111,-515,-137,518,753,-1
517,580,-352,-251,-983,212,-1026,1075,51,-267,-1
-617,359,-1951,452,-204,-502,-1053,-507,-341,1628,-1
-1190,-2228,-1888,-493,-1955,-1267,202,544,154,324,-1
1415,-1960,-1116,-2629,1279,99,-382,1032,-337,1021,-1
-555,-723,64,1569,-720,412,-571,496,148,-708,-1
-180,-1585,-1166,365,15,473,1372,-12,-224,1858,-1
-561,-625,-161,1365,-122,653,-731,-965,536,-1271,-1
-838,9,98,-331,743,-82,11,422,196,-837,-1
12,-528,-62,-1387,-102,-145,1127,1468,-144,1151,-1
1200,392,698,-905,105,-171,-356,434,471,1188,-1
-849,-1232,1066,1580,68,309,876,151,-1139,352,-1
-548,-54,-1445,-293,-465,1432,440,-189,934,-1268,-1
924,-138,-698,639,-1083,1904,769,974,-210,89,-1
-1527,2225,-359,-424,387,503,-1825,352,757,1954,-1
1588,1036,-1198,-358,837,928,-1286,111,-1012,-574,-1
292,-589,893,144,-844,520,-1418,148,-565,2559,-1
153,1580,-301,156,917,1218,-93,-838,-8,-1796,-1
371,-475,-551,875,-1952,-568,-730,47,-305,-553,-1
894,-487,-1481,-2681,429,1610,-695,1933,1201,163,-1
-206,-688,-1113,-629,416,619,29,72,-1488,-1121,-1
55,-1758,446,483,917,2438,1065,2407,-1465,239,-1
-22,-1766,-494,278,193,-79,508,-85,70,1199,-1
-807,-446,595,-991,-53,675,340,1360,1458,-60,-1
-1022,-878,1218,-4,-1202,1173,1122,2143,-1149,-963,-1
-400,-353,607,398,1020,-1131,-1202,439,-134,-697,-1
-1921,-772,986,1179,1459,693,-1182,-1181,-510,-587,-1
951,-1588,-1819,43,-754,-325,-543,8,-563,1123,-1
-171,24,1168,-534,-1298,929,578,-83,329,-1058,-1
954,-256,-1350,-200,724,1486,258,-195,-289,-616,-1
-965,-53,1386,-1716,538,-76,816,2587,364,-1476,-1
-616,-271,-267,436,-1702,491,917,239,828,630,+1
384,342,651,-962,838,-502,-695,-904,-781,-121,+1
1097,-349,3040,441,933,-29,961,-101,512,-1979,+1
-200,-376,125,403,252,-1770,1683,-797,-357,-589,+1
-225,93,17,1179,-788,-608,948,-1568,-599,-1118,+1
-1774,457,-1783,-294,-1567,-1747,828,1812,-938,-533,+1
13,966,599,110,32,-1279,367,67,-355,-683,+1
-432,108,728,101,-913,-1095,1210,-245,1477,842,+1
-437,1215,780,-824,1423,1247,2259,309,509,770,+1
247,798,-913,531,-34,735,-1007,-1269,-2267,-704,+1
-176,2063,385,-359,-975,-90,-1599,680,-567,-163,+1
-1022,1328,-914,-313,-425,-2083,-436,-1261,-212,138,+1
-1280,1572,-166,431,-1529,-480,291,804,1088,1658,+1
192,2488,213,-77,-521,-361,-55,-277,342,2039,+1
871,1656,-896,-1302,-714,1279,-905,-390,879,-1056,+1
-197,484,1476,-1420,-553,-803,593,-446,-459,1414,+1
-31,1057,-1376,-32,-1163,886,-1641,-2029,-925,703,+1
-886,-187,1561,-331,-64,1,1025,-619,-246,-104,+1
1311,-1848,98,801,-1196,-614,175,-900,666,-47,+1
-80,-1004,530,1545,1476,-911,1868,-780,1341,-1199,+1
204,442,1781,-506,522,-408,-490,-1118,2538,-2133,+1
40,2261,124,-1184,368,325,351,-404,-1196,1016,+1
-197,1428,-1348,345,-358,-418,-89,1243,1615,-598,+1
-121,1059,1070,966,818,-810,-443,-681,94,-1488,+1
78,1476,417,-130,-732,-1357,1246,-1326,331,340,+1
1305,-26,-1068,-920,-950,-191,-336,-109,-749,543,+1
810,2016,382,-239,1489,35,869,1243,-482,53,+1
272,735,1570,-996,1257,-407,619,864,-1041,-1059,+1
-2294,1176,-529,769,-2106,41,-138,-461,398,-476,+1
-793,-333,1746,-1215,-261,-996,-47,-285,-98,-2480,+1
1452,657,410,-762,-703,-359,526,46,-779,-982,+1
813,-7,1688,2645,-716,-274,1811,-918,875,1724,+1
-607,435,-378,1038,899,-2037,-1759,-408,-486,-1262,+1
742,389,967,-583,56,-104,630,268,-212,1871,+1
1141,-483,-880,818,411,-1026,941,418,1037,-845,+1
1873,-1062,-1074,-441,-789,-1089,306,-2002,503,362,+1
1544,1062,-920,-533,411,-109,281,-1086,-3,100,+1
-701,1429,4194,1237,758,-1297,887,-1007,-1780,-640,+1
350,2115,-555,853,-728,299,-428,700,1081,-594,+1
-632,1273,-369,352,-224,-573,1057,-150,-274,-1125,+1
-1921,305,843,607,-1700,143,-641,-676,-242,-381,+1
-176,-798,342,-835,687,10,351,-1718,2087,353,+1
1496,-1288,322,1232,232,-1339,90,-1136,1041,1070,+1
-875,-1028,-973,-633,-462,861,930,-872,1483,104,+1
208,1206,-209,-272,-1653,-1157,1452,-140,-1092,735,+1
-450,-287,-1865,-608,-2348,-2057,101,-177,-1913,1640,+1
-3071,272,320,1798,1212,-1749,-549,-150,-110,-125,+1
-220,912,943,-478,146,1053,778,-890,-509,-490,+1
493,-537,1645,-1201,-1118,637,496,-1115,-301,1568,+1
260,669,-27,-1744,1594,-1160,1253,35,-530,672,+1
