x0,x1,x2,x3,x4,x5,y
101,882,221,493,-673,-1507,-1
-897,1486,-995,265,78,-1665,-1
-1227,313,395,-292,500,172,-1
439,395,79,-2040,-725,-650,-1
-344,-710,-550,267,-312,-486,-1
828,-289,-265,1377,76,-543,-1
23,-145,-314,-291,912,246,-1
875,-1264,-65,901,-1574,-1986,-1
-56,-95,-319,731,468,-433,-1
101,-111,-234,2377,-1117,-1376,-1
407,-122,1483,1434,-682,-593,-1
591,212,-957,-864,-1114,-432,-1
209,352,2385,1951,228,-873,-1
-243,828,-1037,926,356,-688,-1
218,-1358,1569,546,-449,-211,-1
482,-581,653,869,1256,-962,-1
-694,1062,-2667,1714,1228,1424,-1
-194,581,-182,-35,433,-528,-1
-1303,1504,68,362,245,731,-1
-215,-672,-537,-1081,-754,928,-1
192,-1203,-219,704,-71,-629,-1
419,786,-429,-93,787,-2464,-1
-304,671,-869,-1354,-915,56,-1
-342,-213,-1186,-449,-1193,732,-1
78,-447,-872,-523,-608,865,-1
905,-321,-611,302,195,-500,-1
-1278,2112,1097,-974,1655,-191,-1
-377,-434,-323,1485,-447,-33,-1
1451,41,1886,742,1469,-749,-1
845,-865,-2437,-73,689,-1347,-1
-729,258,-1012,2350,1046,-1441,-1
-859,-73,-282,433,450,1389,-1
-767,-700,555,-647,-809,145,-1
-416,-32,-441,1589,-386,496,-1
-108,-601,-111,-335,-1422,516,-1
937,-291,-1101,-1278,-679,-964,-1
-1912,1769,-233,-402,796,921,-1
-103,248,223,654,1407,-660,-1
806,-907,-575,197,773,1432,-1
1942,-992,-812,506,-254,180,-1
104,-1148,-321,653,-738,-933,-1
248,-664,761,2208,873,719,-1
1168,-1360,-724,552,-133,576,-1
308,-998,-1758,-1837,362,1758,-1
361,-153,-1946,512,57,359,-1
-122,-264,-1000,679,-769,-627,-1
-520,653,729,-436,-388,695,-1
-264,-284,1204,1628,793,355,-1
381,-661,-520,-2105,-889,-846,-1
-985,-904,-1347,-1280,-2150,1346,-1
203,-428,-597,1096,293,950,-1
1546,-766,698,434,-186,-1067,-1
-794,-168,1560,75,-21,-469,+1
-449,-1880,-58,-353,-273,-177,+1
1585,-601,294,971,-453,-420,+1
1358,-423,-1560,510,-1319,638,+1
1099,1050,857,125,645,-1709,+1
-2346,360,160,992,33,-183,+1
119,-1767,-1592,234,927,-1468,+1
-1117,1623,989,-827,915,-1877,+1
-957,-619,-163,538,2100,-443,+1
1077,-1357,-582,2393,-1466,724,+1
-486,1738,-1299,-1513,-95,1284,+1
1054,-536,-887,-33,-2206,-420,+1
-843,-1128,621,711,2057,-943,+1
1517,-782,-1392,-922,-1009,932,+1
626,975,487,1691,-1004,260,+1
869,-970,-158,-1598,1548,-908,+1
-248,-1994,2197,1159,-725,-1576,+1
-2115,-2599,485,-883,1772,-884,+1
-1483,-2046,348,88,1396,-600,+1
-715,-1710,395,-148,-1159,2235,+1
-1993,906,912,243,743,-556,+1
-36,724,1397,2076,-764,737,+1
-168,-502,-283,-1896,700,1290,+1
341,332,-1147,-485,-2297,-644,+1
557,-2020,-315,-973,719,-1581,+1
-1238,101,-1463,-1150,963,452,+1
214,520,-1440,-302,-259,606,+1
-1253,-171,2506,618,420,607,+1
937,-1951,-206,-1030,741,-299,+1
-1553,-2246,778,-369,-1961,1482,+1
47,751,1038,40,-841,317,+1
-125,1504,-709,-1770,-661,-445,+1
539,2395,1793,362,-62,1696,+1
-1393,-918,-718,253,-354,318,+1
762,-1616,-374,-13,1112,-708,+1
36,-1732,-157,178,392,874,+1
994,-1097,913,424,-2628,-10,+1
241,1729,-502,-752,440,1170,+1
535,-2057,-119,-327,16,-66,+1
-1135,-1450,-562,1799,-263,-922,+1
-1440,-1373,-557,555,109,-666,+1
441,-1202,40,-1049,-140,274,+1
725,637,490,-300,-1089,1049,+1
279,413,-401,557,-867,-377,+1
624,384,678,752,-2722,-103,+1
827,494,1615,725,-341,1028,+1
1200,965,-1879,-665,579,964,+1
-2176,586,430,-1067,1682,378,+1
