x0,x1,x2,x3,x4,x5,x6,x7,y
-691,-731,-1242,448,369,-453,276,465,-1
-1402,3053,-1242,-289,-887,230,667,-1974,-1
997,1349,4,47,101,1124,1666,122,-1
-84,-717,-1432,374,1203,526,-1058,2472,-1
149,1421,381,502,91,829,422,-1083,-1
-148,154,1176,384,184,1085,143,-1069,-1
1307,325,248,863,-82,-1193,2093,-686,-1
-296,-850,-60,228,545,-142,1039,2111,-1
-42,-113,350,1068,606,-1094,342,464,-1
-203,1081,1581,-107,980,298,-24,1000,-1
-13,-530,-788,131,-24,122,498,-498,-1
-910,318,-258,-233,608,62,532,1581,-1
756,130,-440,-230,571,-566,-265,22,-1
-393,-1435,-2080,-635,164,3155,647,186,-1
-1665,325,-84,942,2317,-1770,-570,334,-1
-1382,483,-1389,101,-774,94,366,65,-1
1681,848,-1003,-576,1839,609,102,-1424,-1
1377,-716,1411,1453,2353,-1368,318,865,-1
798,-1015,-878,780,1284,-605,106,1276,-1
26,125,-1154,-1006,132,-1142,1128,-661,-1
-855,779,-416,-1073,752,-646,1774,-561,-1
-1535,-482,-1731,84,515,-892,-669,802,-1
-2,-1088,891,1469,226,949,1336,-62,-1
1006,-111,35,1512,1538,1164,-776,-1132,-1
951,-659,862,1195,2327,-98,699,-798,-1
-136,1083,-1922,-1162,1169,289,-601,-276,-1
178,-406,1372,675,351,2961,505,966,-1
1022,-833,967,2018,152,114,909,-1543,-1
1273,-347,-193,352,2567,1284,878,883,-1
5,-379,43,-1123,233,604,1285,-1527,-1
340,777,-1031,1119,397,1261,-1780,-2338,-1
-449,-2180,-1125,451,176,-394,1884,-74,-1
398,1215,-66,-356,158,-1420,917,-60,-1
-102,-57,94,1431,674,-1580,172,-1086,-1
-1478,378,-1279,1353,-639,367,738,824,-1
213,-1064,-453,67,196,1006,425,-1263,-1
-1280,-1120,-90,-1036,1161,1100,335,601,-1
1733,-591,189,-816,2809,1288,-1016,-469,-1
-1967,243,-371,1536,1304,574,-265,156,-1
-2213,746,-834,2306,-438,527,1512,917,-1
-152,557,-1285,-374,1337,-1132,-597,2248,-1
346,-107,384,214,1219,-1114,3030,520,-1
-1142,1589,-1107,523,821,1062,-61,-98,-1
-1876,-419,-657,-306,1992,-155,-375,1069,-1
-164,1062,-72,-846,235,582,-396,661,-1
-1620,308,-127,-2294,2047,-935,1945,-48,-1
-1613,-178,-577,-91,326,317,-9,-622,-1
-216,1122,-464,-398,-1019,1722,471,-908,-1
-527,-1610,-959,-1159,1684,-422,558,-499,-1
2465,-14,-520,1750,701,31,-661,-300,-1
573,-490,756,-134,-1307,1947,-1028,548,+1
-251,-532,-116,193,-1666,-1664,322,955,+1
-142,-1534,-91,327,-1522,185,-1061,1310,+1
-219,-2087,421,502,-215,1811,924,1004,+1
596,3003,-2070,1746,-1672,-1219,-579,-24,+1
-551,-2059,1150,0,-1110,345,722,-915,+1
420,-1688,1053,-856,-475,423,-1547,-1537,+1
-459,-2106,437,-217,-633,-131,-479,897,+1
474,1406,894,-218,-731,373,753,-111,+1
1202,-328,62,-756,92,1537,-988,-977,+1
975,-1495,-924,-840,-544,-345,1374,1305,+1
685,-1036,795,-22,-1340,-614,533,330,+1
685,80,1455,-674,-77,315,-1130,1568,+1
32,-1189,526,-1166,-247,1443,-1838,-928,+1
-476,-82,-682,526,-285,-1277,172,-1697,+1
-365,-1160,1673,-2595,1607,-1593,-873,2260,+1
-1563,85,1078,-230,-417,1481,1550,970,+1
944,808,1588,1582,-658,522,-1806,31,+1
-176,-1516,611,-1170,331,441,-73,932,+1
-358,-615,846,76,-976,236,221,160,+1
1227,1319,-380,1104,-1105,29,-460,1090,+1
679,1222,1241,547,-1434,-589,-1221,9,+1
459,133,992,868,318,-1261,643,342,+1
402,228,1471,258,-1177,1823,486,1322,+1
-468,639,1810,1027,263,-326,359,-435,+1
762,895,-124,-98,-1022,-606,-1230,526,+1
-180,-335,-514,-575,636,-1962,-1692,211,+1
412,1098,252,-579,-421,-493,141,532,+1
1443,-807,1451,-1651,-1164,-675,523,779,+1
1436,-320,-548,988,-769,-409,607,1663,+1
638,387,501,-1099,-1810,1130,-533,-1566,+1
-163,-496,1085,1215,-1291,1292,2461,-120,+1
324,-651,1263,1762,785,-833,-2134,125,+1
-7,-869,1312,-54,-2919,-670,-1501,646,+1
-294,-465,-616,756,-1062,-12,167,-1127,+1
134,-1414,2622,183,-2047,-1791,-1467,-1664,+1
365,371,1051,121,698,894,-428,1307,+1
1170,437,-418,-717,-773,-2140,-259,-80,+1
-475,1162,-283,1078,-86,961,-677,951,+1
1096,555,1679,-502,790,714,-2964,-1233,+1
-130,-763,-2249,1209,-887,-1383,1314,508,+1
727,-2607,-662,381,863,-648,-2212,227,+1
434,-70,2600,-1145,492,-593,-1244,282,+1
-1553,-1933,870,701,71,1118,213,-1620,+1
-194,248,-849,2147,-212,-278,-1506,847,+1
2026,529,-483,-854,-726,-296,651,-315,+1
849,1451,144,690,131,-162,-1192,-1202,+1
-945,1552,-185,23,-2891,1312,1591,766,+1
-110,-1857,-220,-565,-1117,-902,-918,-1071,+1
-169,-230,631,1197,-932,-661,172,-413,+1
