x0,x1,x2,x3,y
-1026,0,-1847,-23,-1
1208,1105,187,-1560,-1
-286,1032,-1314,-163,-1
-111,1432,2370,-2336,-1
-1138,1965,-1467,1709,-1
1351,941,60,801,-1
1357,105,-516,-551,-1
-424,426,500,-641,-1
264,1657,-820,-312,-1
1141,183,105,-1535,-1
-98,924,2234,2311,-1
355,1177,-2563,1310,-1
1276,896,-1063,-682,-1
91,1391,374,-1240,-1
-1585,372,1450,260,-1
69,-258,-2674,676,-1
-1096,753,564,-2730,-1
-996,-789,-104,-1285,-1
-573,34,-640,-1544,-1
-146,1322,451,510,-1
-43,-1501,1584,-1689,-1
1007,1632,86,1012,-1
-962,1611,589,-425,-1
-1433,-1190,1828,110,-1
557,1390,-3173,705,-1
1000,-436,926,-1912,-1
141,150,-994,-1660,-1
1883,740,1375,-204,-1
-668,-358,-652,-1050,-1
-1332,913,1141,1251,-1
1366,-763,-2376,374,-1
-747,1353,3072,304,-1
-1738,-927,203,151,-1
1631,657,-819,-1303,-1
189,-324,-1910,-846,-1
-2004,-884,-686,746,-1
-82,1273,-763,-1480,-1
1044,1109,792,-1029,-1
2432,257,-1213,83,-1
-1726,109,-1857,-1451,-1
-584,933,-41,-495,-1
-208,265,1243,-384,-1
12,-1445,-2319,-1045,-1
500,1946,-278,1033,-1
-1237,210,989,502,-1
-1115,1381,192,81,-1
-1201,-2347,-805,-530,-1
358,1659,-837,337,-1
-1957,-738,-95,477,-1
504,-201,-227,-117,+1
241,-315,-1429,130,+1
258,-619,375,-243,+1
-651,-36,707,-432,+1
-613,574,1293,234,+1
121,-1213,172,-1079,+1
804,-1234,-740,676,+1
-1001,-1509,-377,43,+1
751,-1508,62,1553,+1
97,-688,1094,886,+1
346,124,-585,386,+1
1125,1002,158,1259,+1
796,-439,933,1721,+1
1241,-1236,-117,-549,+1
1395,-1180,-1645,668,+1
1421,-86,750,-791,+1
334,655,357,295,+1
-832,404,-405,202,+1
-139,1012,-307,230,+1
432,-1931,-179,-690,+1
440,-432,-431,339,+1
-846,-2044,-360,679,+1
-555,-2983,60,607,+1
166,-143,500,-127,+1
-590,-546,636,809,+1
255,-1131,-1226,342,+1
-724,-542,-148,1126,+1
1289,-2430,-1646,1419,+1
-387,-146,-146,155,+1
-1367,-570,-336,1350,+1
787,-134,872,1080,+1
693,91,961,-215,+1
662,-1006,-2110,1036,+1
227,-850,-658,988,+1
-70,207,-805,92,+1
-849,417,574,1081,+1
-206,334,-209,436,+1
56,-1484,-1077,1348,+1
345,-851,-34,1055,+1
-4,-1259,1004,992,+1
-444,280,-983,78,+1
1547,-286,536,820,+1
-1568,-232,602,297,+1
-1379,-1305,-307,2076,+1
-889,-104,-1256,805,+1
708,-530,1126,355,+1
109,-773,178,467,+1
889,-16,-670,799,+1
-141,-132,244,1231,+1
1712,-986,327,82,+1
-817,868,774,1502,+1
